,MOF ID,name,topology,First nodular symmetry code,First nodular character,First nodular ID,Second nodular symmetry code,Second nodular character,Second nodular ID,Connecting building block ID,VF,VSA,GSA,PLD,LCD,LCD/PLD,UCV,GPV,density,bulk,shear
194,875,csq_sym_5_mc_2_sym_8_mc_8_L_26,csq,5,metaliic,2,8,metallic,8,26,0.92,1195,4722,40.5,43.3,1.069136,52660.22,3.41648,0.269283,6.944418,2.020746
195,876,csq_sym_5_mc_2_sym_8_mc_8_L_27,csq,5,metaliic,2,8,metallic,8,27,0.93,1171,5740,38.1,42,1.102362,48096.72,4.191304,0.221888,7.961226,1.646495
196,890,csq_sym_5_mc_2_sym_8_mc_8_L_3,csq,5,metaliic,2,8,metallic,8,3,0.84,1681,3286,23.3,26.1,1.120172,15439.61,1.480954,0.567202,20.04866,6.294739
197,884,csq_sym_5_mc_2_sym_8_mc_8_L_34,csq,5,metaliic,2,8,metallic,8,34,0.93,1169,6281,43,44.7,1.039535,63864.1,4.659249,0.199603,5.772634,1.160142
198,887,csq_sym_5_mc_2_sym_8_mc_8_L_37,csq,5,metaliic,2,8,metallic,8,37,0.94,1161,6285,42.4,44.9,1.058962,64365.14,4.7463,0.198049,6.1907,1.260568
199,892,csq_sym_5_mc_2_sym_8_mc_8_L_41,csq,5,metaliic,2,8,metallic,8,41,0.94,1034,6175,48.4,50.9,1.051653,83417.65,5.289993,0.177694,3.995911,1.156078
200,894,csq_sym_5_mc_2_sym_8_mc_8_L_43,csq,5,metaliic,2,8,metallic,8,43,0.95,938,6254,53.6,56.2,1.048507,106947.6,6.012468,0.158005,3.169095,0.918464
201,896,csq_sym_5_mc_2_sym_8_mc_8_L_45,csq,5,metaliic,2,8,metallic,8,45,0.95,898,5511,52.7,55.5,1.053131,101348,5.542687,0.171397,3.546476,0.969106
202,897,csq_sym_5_mc_2_sym_8_mc_8_L_46,csq,5,metaliic,2,8,metallic,8,46,0.95,841,6801,55.9,58.7,1.050089,120653.6,7.263608,0.130789,2.458742,0.592336
203,908,csq_sym_5_mc_2_sym_8_mc_9_L_12,csq,5,metaliic,2,8,metallic,9,12,0.81,1357,2309,28.7,29.9,1.041812,20205.5,1.342867,0.603187,17.88592,5.815178
204,909,csq_sym_5_mc_2_sym_8_mc_9_L_13,csq,5,metaliic,2,8,metallic,9,13,0.81,1389,2257,28.6,29.5,1.031469,19537.9,1.281934,0.631858,19.94692,6.783421
205,912,csq_sym_5_mc_2_sym_8_mc_9_L_16,csq,5,metaliic,2,8,metallic,9,16,0.87,1481,3433,31.4,32.6,1.038217,24911.48,1.957876,0.444359,15.03931,5.658216
206,917,csq_sym_5_mc_2_sym_8_mc_9_L_20,csq,5,metaliic,2,8,metallic,9,20,0.88,1327,3688,36.9,38.3,1.03794,35657.91,2.387133,0.368643,12.49208,5.413771
207,921,csq_sym_5_mc_2_sym_8_mc_9_L_24,csq,5,metaliic,2,8,metallic,9,24,0.9,1211,4027,41.1,42.7,1.038929,49547.54,2.929802,0.307188,10.89228,4.877109
208,923,csq_sym_5_mc_2_sym_8_mc_9_L_26,csq,5,metaliic,2,8,metallic,9,26,0.89,1209,3740,40.5,42.7,1.054321,47050.91,2.695475,0.330183,12.00764,4.905855
209,924,csq_sym_5_mc_2_sym_8_mc_9_L_27,csq,5,metaliic,2,8,metallic,9,27,0.91,1215,4427,38.7,40.9,1.056848,42668.53,3.228439,0.28187,10.47395,4.018253
210,938,csq_sym_5_mc_2_sym_8_mc_9_L_3,csq,5,metaliic,2,8,metallic,9,3,0.77,1308,1727,24,24.5,1.020833,12930.74,0.984609,0.782036,24.35662,8.460024
